product_type,brand,condition,age_years,weight_kg,storage_gb,screen_size_inch,location_tier,resale_price_inr,green_points,price_per_kg,age_category,brand_tier,product_category
Laptop,Apple,Repairable,1.4,2.93,64.0,15.4,1,22053,2236,7526.621160409556,Recent,Premium,Computer
Laptop,Asus,Repairable,0.8,1.73,512.0,16.5,1,13237,1351,7651.445086705203,New,Budget,Computer
Battery,Apple,Working,2.3,0.65,,,1,1130,149,1738.4615384615383,Recent,Premium,Accessory
Mouse,Realme,Working,7.5,0.18,,,1,55,40,305.55555555555554,Very_Old,Budget,Computer
Mouse,LG,Working,0.9,0.12,,,2,588,93,4900.0,New,Budget,Computer
Smartphone,MSI,Dead,2.0,0.19,1024.0,6.1,2,2241,234,11794.736842105263,Recent,Premium,Mobile
Headphones,Dell,Working,0.8,0.29,,,3,1952,231,6731.034482758621,New,Premium,Accessory
Laptop,Samsung,Working,1.7,2.68,128.0,15.1,3,20076,2052,7491.044776119403,Recent,Premium,Computer
Speaker,Lenovo,Dead,2.3,1.09,,,3,448,56,411.0091743119266,Recent,Budget,Accessory
Mouse,Samsung,Dead,0.9,0.11,,,2,221,32,2009.090909090909,New,Premium,Computer
Mouse,Lenovo,Dead,7.2,0.18,,,2,50,15,277.77777777777777,Very_Old,Budget,Computer
Charger,Realme,Working,0.7,0.24,,,1,358,70,1491.6666666666667,New,Budget,Accessory
Monitor,MSI,Working,0.8,5.48,,30.8,1,8205,871,1497.2627737226276,New,Premium,Computer
Monitor,Generic,Working,1.1,6.31,,25.8,1,4132,461,654.8335974643423,Recent,Budget,Computer
Charger,Dell,Working,2.1,0.14,,,1,661,101,4721.428571428571,Recent,Premium,Accessory
Headphones,Acer,Dead,3.5,0.48,,,2,302,41,629.1666666666667,Old,Budget,Accessory
Speaker,Asus,Working,2.3,2.84,,,3,1698,210,597.887323943662,Recent,Budget,Accessory
Tablet,Xiaomi,Working,0.9,0.42,1024.0,9.9,2,9492,990,22600.0,New,Budget,Mobile
Monitor,Asus,Working,1.1,7.14,,22.7,3,6893,743,965.406162464986,Recent,Budget,Computer
Smartphone,HP,Dead,2.1,0.16,128.0,5.1,2,2264,236,14150.0,Recent,Budget,Mobile
Laptop,HP,Dead,8.0,2.66,512.0,13.0,3,548,69,206.01503759398494,Very_Old,Budget,Computer
Charger,HP,Repairable,3.9,0.24,,,2,195,39,812.5,Old,Budget,Accessory
Keyboard,Dell,Working,3.5,0.55,,,1,1018,137,1850.9090909090908,Old,Premium,Computer
Mouse,OnePlus,Working,0.7,0.19,,,2,750,110,3947.3684210526317,New,Budget,Computer
Speaker,LG,Working,1.3,1.13,,,3,2008,237,1776.991150442478,Recent,Budget,Accessory
Tablet,OnePlus,Repairable,1.3,0.69,32.0,12.3,3,6732,699,9756.521739130436,Recent,Budget,Mobile
Tablet,Asus,Working,1.8,0.45,1024.0,11.7,2,14601,1501,32446.666666666664,Recent,Budget,Mobile
Laptop,LG,Working,2.1,2.66,256.0,15.1,2,20539,2098,7721.428571428571,Recent,Budget,Computer
